     Freq.           Exact            RS              BF              PF              QWC             FC              CGF      
       71.54427         0.00078         0.00060         0.00001         0.00055         0.00083         0.00054         0.00048
       72.09041         0.00077         0.00055         0.00006         0.00048         0.00075         0.00042         0.00040
       72.63655         0.00076         0.00051         0.00013         0.00042         0.00067         0.00031         0.00034
       73.18269         0.00075         0.00048         0.00022         0.00037         0.00059         0.00022         0.00029
       73.72882         0.00075         0.00045         0.00032         0.00033         0.00051         0.00014         0.00026
       74.27496         0.00074         0.00044         0.00043         0.00031         0.00044         0.00008         0.00024
       74.82110         0.00073         0.00043         0.00054         0.00030         0.00038         0.00005         0.00024
       75.36724         0.00073         0.00044         0.00066         0.00031         0.00034         0.00004         0.00026
       75.91338         0.00073         0.00045         0.00078         0.00034         0.00030         0.00005         0.00029
       76.45952         0.00073         0.00048         0.00090         0.00038         0.00028         0.00008         0.00034
       77.00566         0.00073         0.00051         0.00101         0.00043         0.00028         0.00014         0.00040
       77.55180         0.00073         0.00055         0.00112         0.00050         0.00029         0.00022         0.00047
       78.09794         0.00073         0.00060         0.00121         0.00057         0.00031         0.00031         0.00055
       78.64408         0.00074         0.00065         0.00129         0.00065         0.00035         0.00042         0.00064
       79.19022         0.00075         0.00070         0.00136         0.00073         0.00040         0.00053         0.00073
       79.73636         0.00076         0.00076         0.00141         0.00081         0.00046         0.00065         0.00082
       80.28250         0.00077         0.00081         0.00144         0.00089         0.00053         0.00078         0.00090
       80.82864         0.00078         0.00085         0.00145         0.00096         0.00061         0.00090         0.00098
       81.37478         0.00079         0.00090         0.00145         0.00103         0.00068         0.00101         0.00105
       81.92092         0.00079         0.00093         0.00142         0.00108         0.00076         0.00111         0.00110
       82.46706         0.00080         0.00096         0.00138         0.00112         0.00084         0.00120         0.00114
       83.01320         0.00081         0.00098         0.00132         0.00115         0.00091         0.00127         0.00117
       83.55933         0.00082         0.00099         0.00124         0.00116         0.00097         0.00132         0.00118
       84.10547         0.00082         0.00099         0.00115         0.00116         0.00103         0.00134         0.00117
       84.65161         0.00082         0.00097         0.00105         0.00114         0.00107         0.00135         0.00115
       85.19775         0.00082         0.00095         0.00094         0.00111         0.00110         0.00133         0.00111
       85.74389         0.00082         0.00092         0.00082         0.00106         0.00111         0.00128         0.00105
       86.29003         0.00082         0.00088         0.00069         0.00100         0.00111         0.00122         0.00098
       86.83617         0.00081         0.00083         0.00057         0.00093         0.00109         0.00113         0.00091
       87.38231         0.00081         0.00078         0.00045         0.00085         0.00106         0.00103         0.00082
       87.92845         0.00080         0.00073         0.00034         0.00077         0.00101         0.00092         0.00073
       88.47459         0.00079         0.00067         0.00023         0.00069         0.00095         0.00079         0.00063
       89.02073         0.00078         0.00061         0.00013         0.00060         0.00089         0.00067         0.00054
       89.56687         0.00077         0.00056         0.00005         0.00052         0.00081         0.00054         0.00045
       90.11301         0.00076         0.00051        -0.00002         0.00044         0.00073         0.00041         0.00037
       90.65915         0.00075         0.00046        -0.00007         0.00038         0.00064         0.00029         0.00030
       91.20529         0.00075         0.00042        -0.00010         0.00032         0.00056         0.00019         0.00024
       91.75143         0.00074         0.00039        -0.00011         0.00027         0.00048         0.00010         0.00020
       92.29757         0.00073         0.00037        -0.00011         0.00024         0.00040         0.00002         0.00017
       92.84371         0.00073         0.00036        -0.00009         0.00023         0.00033        -0.00003         0.00016
       93.38984         0.00073         0.00036        -0.00005         0.00023         0.00027        -0.00005         0.00016
       93.93598         0.00073         0.00037         0.00001         0.00024         0.00023        -0.00006         0.00018
       94.48212         0.00073         0.00039         0.00008         0.00027         0.00020        -0.00004         0.00022
       95.02826         0.00074         0.00042         0.00017         0.00032         0.00018         0.00001         0.00027
       95.57440         0.00075         0.00046         0.00027         0.00037         0.00018         0.00007         0.00034
       96.12054         0.00076         0.00051         0.00038         0.00044         0.00020         0.00015         0.00041
       96.66668         0.00077         0.00056         0.00049         0.00051         0.00023         0.00025         0.00049
       97.21282         0.00078         0.00061         0.00060         0.00059         0.00027         0.00037         0.00058
       97.75896         0.00079         0.00066         0.00072         0.00066         0.00033         0.00049         0.00067
       98.30510         0.00081         0.00072         0.00083         0.00074         0.00039         0.00061         0.00076
       98.85124         0.00082         0.00077         0.00094         0.00082         0.00047         0.00074         0.00084
       99.39738         0.00084         0.00082         0.00104         0.00089         0.00055         0.00086         0.00092
       99.94352         0.00085         0.00086         0.00113         0.00095         0.00063         0.00097         0.00099
      100.48966         0.00087         0.00089         0.00120         0.00100         0.00071         0.00108         0.00104
      101.03580         0.00088         0.00092         0.00126         0.00103         0.00079         0.00116         0.00108
      101.58194         0.00089         0.00094         0.00131         0.00106         0.00086         0.00122         0.00110
      102.12808         0.00090         0.00094         0.00133         0.00107         0.00093         0.00127         0.00111
      102.67422         0.00091         0.00094         0.00134         0.00106         0.00098         0.00129         0.00110
      103.22035         0.00091         0.00092         0.00133         0.00104         0.00102         0.00129         0.00107
      103.76649         0.00091         0.00089         0.00130         0.00100         0.00104         0.00126         0.00103
      104.31263         0.00091         0.00086         0.00126         0.00096         0.00105         0.00121         0.00097
      104.85877         0.00091         0.00082         0.00119         0.00090         0.00105         0.00114         0.00090
      105.40491         0.00091         0.00077         0.00112         0.00083         0.00103         0.00104         0.00082
      105.95105         0.00090         0.00072         0.00103         0.00075         0.00099         0.00094         0.00073
      106.49719         0.00090         0.00066         0.00092         0.00067         0.00094         0.00082         0.00064
      107.04333         0.00089         0.00060         0.00082         0.00059         0.00088         0.00069         0.00054
      107.58947         0.00089         0.00054         0.00070         0.00051         0.00081         0.00056         0.00045
      108.13561         0.00088         0.00049         0.00058         0.00043         0.00073         0.00043         0.00036
      108.68175         0.00087         0.00044         0.00047         0.00036         0.00064         0.00030         0.00028
      109.22789         0.00087         0.00040         0.00035         0.00030         0.00055         0.00019         0.00022
      109.77403         0.00087         0.00037         0.00024         0.00025         0.00047         0.00009         0.00016
      110.32017         0.00087         0.00034         0.00014         0.00021         0.00039        -0.00000         0.00012
      110.86631         0.00087         0.00032         0.00006         0.00019         0.00031        -0.00007         0.00009
      111.41245         0.00087         0.00032        -0.00002         0.00017         0.00024        -0.00011         0.00009
      111.95859         0.00088         0.00033        -0.00008         0.00018         0.00019        -0.00013         0.00010
      112.50473         0.00089         0.00034        -0.00012         0.00020         0.00014        -0.00013         0.00012
      113.05086         0.00090         0.00037        -0.00015         0.00023         0.00012        -0.00010         0.00016
      113.59700         0.00092         0.00040        -0.00016         0.00028         0.00011        -0.00005         0.00022
      114.14314         0.00094         0.00044        -0.00015         0.00033         0.00011         0.00003         0.00029
      114.68928         0.00096         0.00049        -0.00012         0.00040         0.00013         0.00012         0.00037
      115.23542         0.00098         0.00055        -0.00008         0.00047         0.00017         0.00023         0.00045
      115.78156         0.00101         0.00060        -0.00002         0.00055         0.00022         0.00034         0.00054
      116.32770         0.00103         0.00066         0.00006         0.00062         0.00028         0.00047         0.00063
      116.87384         0.00106         0.00071         0.00014         0.00070         0.00035         0.00060         0.00072
      117.41998         0.00109         0.00076         0.00024         0.00077         0.00043         0.00073         0.00081
      117.96612         0.00112         0.00081         0.00035         0.00084         0.00051         0.00085         0.00088
      118.51226         0.00115         0.00085         0.00046         0.00089         0.00060         0.00096         0.00094
      119.05840         0.00118         0.00088         0.00057         0.00094         0.00068         0.00106         0.00100
